entry_id,policy_file_id,issue_year,stage_id,stage_name,stage_name_zh,province,region,region_en,category_code,category_name
E000020,P009307,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000021,P009308,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000022,P009308,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000022,P009308,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000023,P009310,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000024,P009311,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000025,P009312,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000025,P009312,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000026,P009313,2015,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000027,P009314,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000028,P009314,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000029,P009315,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OSS,Open-source software
E000030,P009318,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000031,P009319,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000032,P009319,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000033,P009319,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000033,P009319,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000034,P009319,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000035,P009319,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000036,P009320,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000037,P009320,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000038,P009320,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000039,P009320,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000040,P009320,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000041,P009321,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000042,P009324,2014,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,CS,Citizen science
E000043,P009325,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000044,P009325,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000045,P009327,2025,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000046,P009328,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000047,P009328,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000048,P009329,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000049,P009329,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000050,P009330,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000051,P009331,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000052,P009332,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OSS,Open-source software
E000053,P009334,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000054,P009335,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000055,P009336,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000055,P009336,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000056,P009337,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000057,P009337,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000058,P009339,2006,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000059,P009339,2006,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000060,P009340,2015,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000061,P009341,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000062,P009341,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000063,P009342,2007,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000064,P009349,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000064,P009349,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000065,P009349,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000066,P009351,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000067,P009354,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000068,P009355,2025,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000069,P009356,2024,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000070,P009357,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000070,P009357,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000071,P009359,2013,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000072,P009359,2013,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000073,P009362,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000074,P009363,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000075,P009364,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000076,P009365,2025,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000077,P009366,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000078,P009366,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000079,P009367,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000080,P009367,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000081,P009368,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000082,P009368,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000083,P009370,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000084,P009370,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000085,P009372,2001,1,Emergence,萌芽期,重庆市,西部,Western,OERs,Open educational resources
E000086,P009373,2008,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000087,P009374,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000088,P009375,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000089,P009376,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000090,P009376,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000091,P009376,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000092,P009377,2015,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000093,P009377,2015,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000094,P009377,2015,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000095,P009380,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000096,P009381,2013,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000097,P009382,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000098,P009382,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000099,P009383,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000100,P009383,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000101,P009383,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000102,P009383,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000103,P009384,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000104,P009384,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000105,P009384,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000106,P009384,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000107,P009384,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000108,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000109,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000110,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000111,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000112,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000113,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000114,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000115,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000116,P009385,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000117,P009386,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000118,P009386,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000119,P009387,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000120,P009387,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OERs,Open educational resources
E000121,P009389,2014,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000122,P009389,2014,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000123,P009389,2014,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000124,P009392,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000125,P009393,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000126,P009394,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000127,P009394,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000128,P009394,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000129,P009396,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000130,P009396,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000131,P009396,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000132,P009396,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000133,P009396,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000134,P009396,2012,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OERs,Open educational resources
E000137,P009405,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000138,P009406,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000139,P009407,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000140,P009410,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000141,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000142,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000143,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000144,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000145,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000146,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000147,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000148,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000149,P009412,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000150,P009415,2010,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000151,P009416,2015,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000152,P009417,2006,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000153,P009419,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000154,P009420,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000155,P009421,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000156,P009424,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000157,P009424,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000158,P009427,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000159,P009428,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000160,P009428,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000161,P009428,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000162,P009428,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000163,P009429,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000164,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000165,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000166,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OERs,Open educational resources
E000167,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000168,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000169,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000170,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000171,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000172,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000173,P009430,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000174,P009433,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000175,P009433,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000176,P009434,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000177,P009436,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000178,P009437,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000179,P009438,2004,1,Emergence,萌芽期,重庆市,西部,Western,OI,Open infrastructure
E000180,P009439,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000181,P009439,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000182,P009439,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000183,P009440,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OA,Open access
E000183,P009440,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000184,P009441,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000185,P009441,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000186,P009441,2016,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000187,P009442,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000188,P009445,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000189,P009445,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000190,P009445,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000191,P009446,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000192,P009446,2017,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000193,P009449,2014,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000194,P009452,2009,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000195,P009453,2013,2,Gradual expansion,渐进扩展期,重庆市,西部,Western,OI,Open infrastructure
E000196,P009454,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000197,P009454,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000198,P009456,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,CS,Citizen science
E000199,P009457,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000200,P009457,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000201,P009457,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000202,P009457,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000203,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000204,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000205,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000206,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000207,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000208,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000209,P009458,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000210,P009459,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000210,P009459,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000211,P009461,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000212,P009462,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000213,P009463,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000214,P009464,2018,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000215,P009465,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000215,P009465,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000216,P009465,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OD,Open data
E000216,P009465,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000217,P009466,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000218,P009466,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000219,P009467,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000220,P009468,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000221,P009468,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000222,P009469,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000223,P009470,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000224,P009470,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000225,P009471,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000226,P009473,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000227,P009473,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000228,P009473,2023,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000229,P009475,2024,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000230,P009475,2024,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000231,P009475,2024,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000232,P009475,2024,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000233,P009475,2024,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000234,P009476,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000235,P009476,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000236,P009476,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OD,Open data
E000236,P009476,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000237,P009476,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000238,P009476,2020,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000239,P009478,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000240,P009478,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000241,P009478,2019,3,Rapid expansion,快速扩张期,重庆市,西部,Western,OI,Open infrastructure
E000242,P009479,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000243,P009479,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000244,P009479,2022,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000245,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000246,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000247,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000248,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000249,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000250,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000251,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000252,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000253,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000254,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
E000255,P009480,2021,4,High-level diffusion and adjustment,高位扩散与调整期,重庆市,西部,Western,OI,Open infrastructure
